AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
H4C303000,H4C303000,3030,00,992K,H4C,3030 - TRANSMISSION,00 - (NONE),H4C,LOFE001-DRIV-TMSN,,12000H TRANSMISSION CHANGE,DRIV-TMSN,H4CDRIV-TMSN
H4C310100,H4C310100,3101,00,992K,H4C,3101 - TORQUE CONVERTER,00 - (NONE),H4C,LOFE001-DRIV-TQCV,,15000H TORQUE CONVERTER CHANGE,DRIV-TQCV,H4CDRIV-TQCV
H4C325800,H4C325800,3258,00,992K,H4C,3258 - DIFFERENTIAL,00 - (NONE),H4C,LOFE001-DRIV-DIFF,,15000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,H4CDRIV-DIFF
H4C405000,H4C405000,4050,00,992K,H4C,4050 - FINAL DRIVE,00 - (NONE),H4C,LOFE001-DRIV-FIDV,,15000H WHEEL END CHANGE LHF,DRIV-FIDV,H4CDRIV-FIDV
H4C3258FR,H4C3258FR,3258,FR,992K,H4C,3258 - DIFFERENTIAL,FR - FRONT,H4C,DZWH004-DRIV-DIFF,,15000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,H4CDRIV-DIFF
H4C3258RE,H4C3258RE,3258,RE,992K,H4C,3258 - DIFFERENTIAL,RE - REAR,H4C,LOFE057-DRIV-DIFF,,15000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,H4CDRIV-DIFF
H4C4001LF,H4C4001LF,4001,LF,992K,H4C,4001 - FINAL DRIVE & BRAKE WHEEL,LF - LEFT FRONT,H4C,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE LHF,DRIV-FIDV,H4CDRIV-FIDV
H4C4001LR,H4C4001LR,4001,LR,992K,H4C,4001 - FINAL DRIVE & BRAKE WHEEL,LR - LEFT REAR,H4C,LOFE061-DRIV,,15000H WHEEL END CHANGE LHR,DRIV,H4CDRIV
H4C4001RF,H4C4001RF,4001,RF,992K,H4C,4001 - FINAL DRIVE & BRAKE WHEEL,RF - RIGHT FRONT,H4C,DZWH004-DRIV-FIDV,,15000H WHEEL END CHANGE RHF,DRIV-FIDV,H4CDRIV-FIDV
H4C4001RR,H4C4001RR,4001,RR,992K,H4C,4001 - FINAL DRIVE & BRAKE WHEEL,RR - RIGHT REAR,H4C,LOFE061-DRIV,,15000H WHEEL END CHANGE RHR,DRIV,H4CDRIV
H9K100000,H9K100000,1000,00,854K,H9K,1000 - ENGINE,00 - (NONE),H9K,DZWH003-ENGI,,15000H ENGINE CHANGE,ENGI,H9KENGI
H9K135300,H9K135300,1353,00,854K,H9K,1353 - RADIATOR,00 - (NONE),H9K,DZWH003-ENGI-COSY,,15000H RADIATOR CHANGE,ENGI-COSY,H9KENGI-COSY
H9K303000,H9K303000,3030,00,854K,H9K,3030 - TRANSMISSION,00 - (NONE),H9K,DZWH003-DRIV-TMSN,,15000H TRANSMISSION CHANGE,DRIV-TMSN,H9KDRIV-TMSN
H9K310100,H9K310100,3101,00,854K,H9K,3101 - TORQUE CONVERTER,00 - (NONE),H9K,DZWH003-DRIV-TQCV,,15000H TORQUE CONVERTER CHANGE,DRIV-TQCV,H9KDRIV-TQCV
