CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
773E1365 - BRAKE/AXLE OIL COOLER-RE - REAR,773E,1365 - BRAKE/AXLE OIL COOLER-RE - REAR,14015.RE.CNCNP.0 Brake Oil Cooler,773E14015.RE.CNCNP.0 Brake Oil Cooler
773E4263 - BRAKE ACCUMULATOR-00 - (NONE),773E,4263 - BRAKE ACCUMULATOR-00 - (NONE),14026.0.CNCNP.0 Park Brake Accumulator,773E14026.0.CNCNP.0 Park Brake Accumulator
773E,773E,,14106.CR.CNCNP.0 Steering Arm,773E14106.CR.CNCNP.0 Steering Arm
773E,773E,,14106.LH.CNCNP.0 Steering Arm,773E14106.LH.CNCNP.0 Steering Arm
773E,773E,,14106.RH.CNCNP.0 Steering Arm,773E14106.RH.CNCNP.0 Steering Arm
773E5102 - LIFT/HOIST CYLINDER-LT - LEFT,773E,5102 - LIFT/HOIST CYLINDER-LT - LEFT,15018.LH.CCNP.0 Hoist Cylinder,773E15018.LH.CCNP.0 Hoist Cylinder
773E5102 - LIFT/HOIST CYLINDER-RI - RIGHT,773E,5102 - LIFT/HOIST CYLINDER-RI - RIGHT,15018.RH.CCNP.0 Hoist Cylinder,773E15018.RH.CCNP.0 Hoist Cylinder
773E5083 - HYDRAULIC HOIST PUMP-00 - (NONE),773E,5083 - HYDRAULIC HOIST PUMP-00 - (NONE),15311.0.CC.0 Hoist Pump,773E15311.0.CC.0 Hoist Pump
773E4306 - STEERING PUMP-00 - (NONE),773E,4306 - STEERING PUMP-00 - (NONE),15332.0.CC.0 Steering Pump,773E15332.0.CC.0 Steering Pump
773E4324 - SECONDARY STEERING PUMP-00 - (NONE),773E,4324 - SECONDARY STEERING PUMP-00 - (NONE),15333.0.CNC.0 Supplementary Steering Pump,773E15333.0.CNC.0 Supplementary Steering Pump
773E3115 - TORQUE CONVERTER/TRANSMISSION SCAVENGE PUMP-00 - (NONE),773E,3115 - TORQUE CONVERTER/TRANSMISSION SCAVENGE PUMP-00 - (NONE),15338.0.CNC.0 Trans & T/Convertor Pump,773E15338.0.CNC.0 Trans & T/Convertor Pump
773E4307 - STEERING VALVE-00 - (NONE),773E,4307 - STEERING VALVE-00 - (NONE),15410.0.CC.0 Steering Valve,773E15410.0.CC.0 Steering Valve
773E,773E,,16104.0.CCNP.0 Body - Reserve Strategy (Change Out ONLY),773E16104.0.CCNP.0 Body - Reserve Strategy (Change Out ONLY)
773E,773E,,16127.0.CNCNP.0 Bucket / Body / Blade (Major Repairs ONLY),773E16127.0.CNCNP.0 Bucket / Body / Blade (Major Repairs ONLY)
773E,773E,,17500.0.CC.0 A Frame,773E17500.0.CC.0 A Frame
773E,773E,,17004.0.CNCNP.001 Air Tank,773E17004.0.CNCNP.001 Air Tank
773E,773E,,17312.0.CCNP.0 Water Tank Module,773E17312.0.CCNP.0 Water Tank Module
773E3108 - PUMP DRIVE GRP-00 - (NONE),773E,3108 - PUMP DRIVE GRP-00 - (NONE),13107.0.CC.0 Pump Drive,773E13107.0.CC.0 Pump Drive
